"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 18 17:19:25 IST 2020","Sat Jul 18 17:20:01 IST 2020","35490","Command line suite","Command line test","testCases.DoodlesTest","testCases.DoodlesTest","TC_ValidateDoodlesPage","To Verify that when the user click on I'm Feeling Lucky button, the page navigates to Doodles Page",""
"passed","Sat Jul 18 17:20:16 IST 2020","Sat Jul 18 17:20:44 IST 2020","28337","Command line suite","Command line test","testCases.GoogleSearchTest","testCases.GoogleSearchTest","TC_SearchInGoogle","To Verify that when the user search for a specific text, the page navigates to the Search Result Page",""
